argument,topic,set,WA,MACE-P,stance_WA,stance_WA_conf
a great deal of money is wasted every year on trying to police the use of cannabis which would be saved if cannabis was legalized,We should legalize cannabis,test,0.902614828,0.954871543,1,1
a product that is going to put more impaired drivers on the road and increase traffic accidents and deaths should be never legalized!,We should legalize cannabis,test,0.948205318,0.97973884,-1,1
a shift from drinking alcohol to cannabis use will decrease crimes because the amount of crime and violence caused by alcohol use is ten times higher than by marijuana,We should legalize cannabis,test,0.722969225,0.562401323,1,1
a study has confirmed that marijuana legalization results in reduced  marijuana use amongst teenagers,We should legalize cannabis,test,0.629600799,0.194464782,1,1
"addiction, drugged driving accidents, increased crime and a negative impact on health from secondhand smoking is just a small list of legalizing marijuana cost",We should legalize cannabis,test,0.835267866,0.871069055,-1,0.801778348
adults should be able to choose substances that they want to use.,We should legalize cannabis,test,1,0.815381084,1,0.800806395
"after somebody try cannabis and starting to use it regulary, they will start with stronger drugs, cocaine, meth,etc.",We should legalize cannabis,test,0.442125084,0.017465449,-1,1
"alcohol and tobacco cause way more damage to society than cannabis does, yet they are still legal.",We should legalize cannabis,test,0.718157498,0.349504779,1,0.902695809
allowing cannabis to be legal opens the door for more impaired people to be out there at any given time.  this can cause a danger to innocent civilians is impaired people who are legally high are out there.,We should legalize cannabis,test,0.491351413,0.050534395,-1,0.911016559
allowing people to use a gateway drug like cannabis is steering them towards a life of addiction.,We should legalize cannabis,test,0.784033791,0.833864667,-1,1
"American Academy of Pediatrics said that adverse effects of teen marijuana use include memory, attention and concentration problems; alterations in motor control, coordination, reaction time and problem-solving abilities",We should legalize cannabis,test,0.763567641,0.789011977,-1,1
anti-marijuana policies have failed  and the majority of Americans support legalizing marijuana,We should legalize cannabis,test,0.305683194,0.001378712,1,1
"as a non-addictive natural substance that is less harmful than currently legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply due to old prejudices.",We should legalize cannabis,test,0.882219935,0.64894352,1,0.805096652
"as a party to the international treaties, the United States has agreed to limit the use of marijuana only to medical and scientific purposes",We should legalize cannabis,test,0.30922717,0.006331979,-1,0.448703315
as a result legalization marijuana black market can be replaced by regulated sales of a safer product,We should legalize cannabis,test,0.504374001,0.054695536,1,0.822427536
availability of legalized marijuana would have a trickle-down impact and the drug would find its way to underage persons,We should legalize cannabis,test,0.739746589,0.737696957,-1,1
bannabis should be legalized as it has been proven to have medical benefits that outweigh any negative effects. it will also remove it from the control of criminals and gangsters,We should legalize cannabis,test,0.903368299,0.707574868,1,1
"because cannabis helps regulate body weight, it only makes sense that it would help prevent and regulate diabetes.",We should legalize cannabis,test,0.853285309,0.893673775,1,1
because cannabis use has associated health risks such as developing schizophrenia or other psychotic illness it should not be legalized,We should legalize cannabis,test,0.878520663,0.982697083,-1,1
big companies could try to get in on the market and overcharge and create unnecessary regulations for legalized cannabis.,We should legalize cannabis,test,0.430673436,0.093373133,-1,1
Buying illegal marijuana on the street is unsafe. It could be laced with unknown substances. Legal marijuana is regulated for consumer safety.,We should legalize cannabis,test,0.845334805,0.968948723,1,0.80263396
by legalising cannabis it would free up the police to deal with other matters plus by taxing it the government can bring in extra revenue.,We should legalize cannabis,test,0.836336076,0.779801274,1,1
by legalizing and regulating cannabis we ensure that it is not cut with harmful ingredients,We should legalize cannabis,test,1,0.930992869,1,1
"by legalizing cannabis you are making it easier to get a hold of, which then encourages younger adults/teenagers to start smoking & become addicted",We should legalize cannabis,test,0.92388056,0.893624882,-1,0.665104186
cannabis a gateway drug that leads users to harder drug use and addiction,We should legalize cannabis,test,0.777900576,0.765547943,-1,1
"cannabis already has a well established market, by legalising it, we take it out of the hands of criminals and the state can benefit from extra revenue from taxing it.",We should legalize cannabis,test,1,0.762886935,1,1
cannabis as a mind-altering substance should remain illegal as it's full effects are not yet known.,We should legalize cannabis,test,0.877387037,0.470092619,-1,1
"cannabis can be a gateway drug for other more harmful substances, and starts the user on a slippery, downward slope of dependence and addiction.",We should legalize cannabis,test,1,0.951534443,-1,1
cannabis can be used effectively for medicinal purposes to provide relief from sever medical conditions. legalizing cannabis would reduce the amount of criminal activities and make our streets safer.,We should legalize cannabis,test,0.860607416,0.865241006,1,1
cannabis can be used for a number of medical issues so making it legal will help with that,We should legalize cannabis,test,0.761117385,0.844940027,1,1
cannabis can be used irresponsibly so it must be tightly controlled.,We should legalize cannabis,test,0.823287234,0.493812804,-1,0.806849713
cannabis can cause damage to the brain in young users.,We should legalize cannabis,test,0.822801491,0.610005807,-1,1
cannabis can cause impaired driving and can be difficult to regulate,We should legalize cannabis,test,1,0.987423523,-1,1
cannabis can cause mental health issues,We should legalize cannabis,test,0.950802163,0.882784086,-1,1
"cannabis can cause psychosis and permanent mental illness, additionally cannabis users often  go to on to take to harder drugs, increasing the risk of illegal drug taking and criminal activity.",We should legalize cannabis,test,0.940038007,0.679990967,-1,0.926596854
cannabis can harm brain chemistry in children.,We should legalize cannabis,test,0.747113077,0.161500614,-1,1
cannabis can have pain relieving effects and some doctors recommend it.,We should legalize cannabis,test,1,0.997320904,1,1
cannabis can help alleviate many medical issues.,We should legalize cannabis,test,1,0.908401095,1,1
